Job_title,Job_role,Company,Job_location,Job_summary,Post_date,Today,Job_salary,Job_url
AI/ML Engineer,Data Engineer,Pitchvantage llc,Remote,"Collaborate with data scientists, software engineers, and product managers to design and implement machine learning solutions.
Job Types: Full-time, Contract.",PostedJust posted,2023-03-19,"₹20,00,000 - ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
iOS Developer,Data Engineer,Nureca Dr. Trust,"Chandigarh, Chandigarh","Good knowledge on concurrency, memory handling & swift fundamentals * Experience with databases like realm & core data.",PostedPosted 3 days ago,2023-03-19,"₹12,00,000 - ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Sr Software Engineer - Data,Data Engineer,Uber,"Bengaluru, Karnataka","Unless formally approved to work fully remotely, Uber expects employees to spend at least half of their work time in their assigned office.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Sr. DevOps Engineer - Observability,Data Engineer,SailPoint,Maharashtra,"Serve as a mentor to junior engineers.
Strong interpersonal and teaming skills - ability to set and enforce process and influence engineers who are not direct…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Integration Software Engineer - AEM,Data Engineer,PathFactory,Remote,"Develop data share between the external data lake and AEM for analytics/reporting.
We’re looking for integration engineers with hands-on experience designing…",PostedPosted 11 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Senior Software Engineer- Backend,Data Engineer,Eightfold.AI,"Bengaluru, Karnataka+1 location","Design and develop safe and reliable data pipelines for high-scale data integration for fortune 500 customers.
Cares about the details in the user experience.",PostedPosted 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Data & Analytics Lead - X Delivery,Data Engineer,Boston Consulting Group,"New Delhi, Delhi+1 location",You will provide technical support through deeper understanding of relevant data analytics solutions and processes to build high quality and efficient analytic…,PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Data Engineer_PGET,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Education: Masters in Computer Science, Electrical / Electronics or Equivalent engineering –.
Excellent Programming skills in Python.",PostedPosted 5 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
"Engineering Manager, Global Payment Processing",Data Engineer,Uber,"Hyderabad, Telangana","Communicate and collaborate within and across teams (both engineers, data scientists / analysts, designers, product, Strategy, Business & Ops teams) to…",PostedPosted 27 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
"Software Engineer, Client Ops",Data Engineer,Boston Consulting Group,"New Delhi, Delhi+1 location",You will provide technical support through deeper understanding of relevant data analytics solutions and processes to build high quality and efficient analytic…,PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Project Controls Automation Engineer,Data Engineer,Bechtel,"New Delhi, Delhi","Knowledge APIs for data integration with other applications Eg. P6 API.
Telework Type: Full-Time Office/Project.
Understanding of SQL and database query.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Data Engineer,Data Engineer,Global Employees,Remote,"Passion for engineering and computer science around data.
Increase accessibility and effectiveness of data (work with analysts, data scientists, and developers…",EmployerActive 1 day ago,2023-03-19,"₹10,00,000 - ₹30,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
DATA ANALYST,Data Engineer,Larsen & Toubro Limited,"Chennai, Tamil Nadu","Developing and maintaining databases , data systems – reorganizing data in a readable format.
Performing analysis to assess quality and meaning of data.",PostedPosted 11 days ago,2023-03-19,"₹8,00,000 - ₹12,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Azure_Data_Engineer _T8,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Good knowledge of Spark and Scala.
Good knowledge of ADF and Databricks.
Strong communication and interpersonal skills.
Good knowledge of Spark and Scala.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Data Engineer,Data Engineer,Nineleaps,"Bengaluru, Karnataka","Experience building data processing frameworks, and big data pipelines.
Work with data management team & project leads.
Basic Understanding of Python:- ETL.",PostedPosted 3 days ago,2023-03-19,"₹7,96,296 - ₹21,50,927",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=0
Azure_Data_Engineer _T8,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Good knowledge of Spark and Scala.
Good knowledge of ADF and Databricks.
Strong communication and interpersonal skills.
Good knowledge of Spark and Scala.",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
AWS Data Engineer,Data Engineer,Cloudare Technologies Private Limited,"Remote in Bengaluru, Karnataka","Must to Have Skills : AWS - Data Engineer -* PySpark, Glue, S3, Athena.
To work in the capacity of AWS Cloud developer.
Scripting/programming in Python/Pyspark.",PostedPosted 4 days ago,2023-03-19,"₹10,00,000 - ₹13,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
AWS Data Engineer,Data Engineer,BugendaiTech,Remote,"Show efficiency in handling data - tracking data lineage, ensuring data quality, and improving discover ability of data.",PostedPosted 4 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Big Data Engineer,Data Engineer,Albireo Tech System,Remote,"Skills- ETL, aws, sql, kafka, spark, dynamodb.
Time - 30 min to 45 min.
Job Types: Part-time, Freelance.
Part-time hours: 5 per week.",PostedPosted 25 days ago,2023-03-19,"₹1,000 - ₹3,00",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Engineer II,Data Engineer,"ShipBob, Inc.","Remote in New Delhi, Delhi","Focus on growing as DBA in an Azure SQL environment.
Perform SQL programming and performance tuning and optimization.
1-4 years of experience.",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Engineer,Data Engineer,Maximus Human Resources,"Bengaluru, Karnataka","1-2 years of experience in *#data* engineering.
Looking for *#Data* *#Engineer*with *#Python* to Big product based client @ *#Bangalore* *#Hybrid*model with…",PostedPosted 2 days ago,2023-03-19,"₹7,00,000 - ₹10,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Engineer,Data Engineer,krtrimaiq cognitive solutions,"Bengaluru, Karnataka","Krtrimaiq Cognitive Solutions appears to be a company that offers various cognitive services such as natural language processing, speech recognition, and…",PostedPosted 26 days ago,2023-03-19,"From ₹50,000 ",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Associate Data Engineer,Data Engineer,Intercontinental Exchange,"Remote in Hyderabad, Telangana","Collaborate with business, data architects and various technology teams on data projects.
Strong data analytical and problem-solving skills.",PostedPosted 1 day ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data engineer Intern,Data Engineer,Truthics Solutions,"Delhi, Delhi","Creating API integrations to extract data from Social Media and CRM APIs using Python 2.
Creating automation using Python 3.",PostedPosted 18 days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Senior Data Engineer,Data Engineer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Collaborating with data scientists, data analysts, and other stakeholders to understand their data needs and identify opportunities to leverage data to solve…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Engineer,Data Engineer,TalentRupt,"Bengaluru, Karnataka","*SQL Database / SQL Scripting skill*.
Ability to perform under pressure.
In this role, you need to analyze and solve increasingly complex problems.",Hiring ongoing,2023-03-19,"₹4,00,000 - ₹18,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Analyst - Visakhapatnam,Data Engineer,Patra Corporation,"Temporarily Remote in Visakhapatnam, Andhra Pradesh","Research opportunities for data acquisition and new uses for existing data.
Recommend ways to improve data reliability, efficiency and quality (e.g. data…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
SAP PS COSULTANT,Data Engineer,Infosys Limited,"Pune, Maharashtra","Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data •…",PostedPosted 30+ days ago,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
SQL Data Engineer,Data Engineer,Smart fusion corporate solution,Remote,"mmediate Hiring!!! Salary : 400000 lak to 1200000 lpa Experience: 2 years to 10 years Contact: 98847 00289 Job Type: Full-time Salary: ₹600,000.00 - ₹1",EmployerActive 1 day ago,2023-03-19,"₹6,00,000 - ₹12,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Engineer,Data Engineer,Confluent,"Bengaluru, Karnataka","Strong knowledge of data architectures and data modeling and data infrastructure ecosystem.
You will build data pipelines that enable data scientists, analytics…",PostedToday,2023-03-19,NaN,https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=10
Data Engineer,Data Engineer,Recbots,"Bengaluru, Karnataka","Data engineer: 4 years (Preferred).
Experinece in Python, Kafka, Docker.
Excellent in at least one programming language: *Python, R*.",PostedPosted 30 days ago,2023-03-19,"₹10,00,000 - ₹15,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
Data Engineer,Data Engineer,optimhire,"Bengaluru, Karnataka","Maintain and support data mart, data analytics platforms & application.
Work Experience Data Engineer: 4+ years of experience in data engineering on cloud…",PostedPosted 2 days ago,2023-03-19,"₹8,00,000 - ₹14,00,000",https://in.indeed.com/jobs?q=Data+Engineer&l=India&start=20
